CVE-1999-0012,Entry,"Some web servers under Microsoft Windows allow remote attackers to bypass access restrictions for files with long file names.","CERT:CA-98.04.Win32.WebServers   |   XF:nt-web8.3",,"",""
CVE-1999-0013,Entry,"Stolen credentials from SSH clients via ssh-agent program, allowing other local users to access remote accounts belonging to the ssh-agent user.","CERT:CA-98.03.ssh-agent   |   NAI:NAI-24   |   XF:ssh-agent",,"",""
CVE-1999-0017,Entry,"FTP servers can allow an attacker to connect to arbitrary ports on machines other than the FTP client, aka FTP bounce.","CERT:CA-97.27.FTP_bounce   |   XF:ftp-bounce   |   XF:ftp-privileged-port",,"",""
CVE-1999-0023,Entry,"Local user gains root privileges via buffer overflow in rdist, via lookup() function.","CERT:CA-96.14.rdist_vul   |   XF:rdist-bo   |   XF:rdist-bo2",,"",""
CVE-1999-0024,Entry,"DNS cache poisoning via BIND, by predictable query IDs.","CERT:CA-97.22.bind   |   NAI:NAI-11   |   XF:bind",,"",""
CVE-1999-0026,Entry,"root privileges via buffer overflow in pset command on SGI IRIX systems.","AUSCERT:AA-97.20.IRIX.pset.buffer.overflow.vul   |   CERT:CA-97.21.sgi_buffer_overflow   |   XF:pset-bo",,"",""
CVE-1999-0027,Entry,"root privileges via buffer overflow in eject command on SGI IRIX systems.","AUSCERT:AA-97.21.IRIX.eject.buffer.overflow.vul   |   CERT:CA-97.21.sgi_buffer_overflow   |   XF:eject-bo",,"",""
CVE-1999-0028,Entry,"root privileges via buffer overflow in login/scheme command on SGI IRIX systems.","AUSCERT:AA-97.22.IRIX.login.scheme.buffer.overflow.vul   |   CERT:CA-97.21.sgi_buffer_overflow   |   XF:sgi-schemebo",,"",""
CVE-1999-0029,Entry,"root privileges via buffer overflow in ordist command on SGI IRIX systems.","AUSCERT:AA-97.23-IRIX.ordist.buffer.overflow.vul   |   CERT:CA-97.21.sgi_buffer_overflow   |   XF:ordist-bo",,"",""
CVE-1999-0030,Candidate,"root privileges via buffer overflow in xlock command on SGI IRIX systems.","AUSCERT:AA-97.24.IRIX.xlock.buffer.overflow.vul   |   CERT:CA-97.21.sgi_buffer_overflow   |   SGI:19970508-02-PX   |   XF:sgi-xlockbo",Proposed (19990623),"   ACCEPT(3) Levy, Ozancin, Prosser  |     NOOP(1) Baker  |     RECAST(1) Frech  |     REJECT(1) Christey","Frech> XF:xlock-bo (also add)  |    As per xlock-bo, also appears on AIX, BSDI, DG/UX, FreeBSD, Solaris, and  |    several Linii.  |    Also, don't you mean to cite SGI:19970502-02-PX? The one you list is  |    login/scheme.  |    Levy> Notice that this xlock overflow is the same as in  |    CA-97.13. CA-97.21 simply is a reminder.  |    Christey> As pointed out by Elias, CA-97.21 states: ""For more  |    information about vulnerabilities in xlock... see CA-97.13""  |    CA-97.13 = CVE-1999-0038.  |    This may also be a duplicate with CVE-1999-0306.  |      |    See exploits at:  |      |    http://marc.theaimsgroup.com/?l=bugtraq&m=87602167418394&w=2  |    http://marc.theaimsgroup.com/?l=bugtraq&m=87602167418404&w=2  |      |    Sun also has this problem, at  |    http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/150&type=0&nav=sec.sba"
